"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,0
"X2",121.507407402907,121.642857138513,121.593575392564,0.0193849351103977
"X3",122.699999993542,123.386956516374,123.066488589705,0.13506518669007
"X4",123.47499998971,125.135294110286,124.365895430523,0.314241834402342
"X5",123.499999969125,127.457142848039,125.582618245499,0.592502936181275
"X6",124.624999968844,129.349999987065,126.807696653475,0.839965225081522
"X7",125.199999979133,130.599999978233,127.956955836745,1.09285620373371
"X8",125.249999937375,133.474999966631,129.235465997391,1.67247682680595
"X9",125.999999937,134.3999999328,130.252823093859,1.98352811772519
"X10",126.2999998737,137.0999999543,131.274869742779,2.23345117526005
"X11",127.4999998725,139.4999998605,131.765113807996,2.35620121027061
